Icon,Name,Start Time,Grid Northing (m),Grid Easting (m),Elevation (m),Code,Solution Type,PP Correction Status,Control,Note,Photo Notes,Layer,Source,Std Dev n (m),Std Dev e (m),Std Dev u (m),Std Dev Hz (m),Color,Point Symbol,Antenna Type,Antenna Height (m),Ant Height Method,Stop Time,Duration,GPS Satellites,GLONASS Satellites,PDOP,HDOP,VDOP,Geoid Separation (m),Weighted residual n (m),Weighted residual e (m),Weighted residual u (m)
 ,20240720105450 2024-07-20 11:04:35.718626500 AM,7/20/2024 11:04,3490486.036,219975.366,2669.544,USER,Fixed,Corrected,None,91, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.599, , , , 
 ,20240720105450 2024-07-20 11:04:39.711819400 AM,7/20/2024 11:04,3490521.738,219957.635,2669.514,USER,Fixed,Corrected,None,93, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.599, , , , 
 ,20240720105450 2024-07-20 11:04:49.704329500 AM,7/20/2024 11:04,3490611.204,219913.339,2669.64,USER,Fixed,Corrected,None,98, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.598, , , , 
 ,20240720105450 2024-07-20 11:04:47.714953200 AM,7/20/2024 11:04,3490593.354,219922.183,2669.623,USER,Fixed,Corrected,None,97, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.598, , , , 
 ,20240720105450 2024-07-20 11:04:43.698820100 AM,7/20/2024 11:04,3490557.487,219939.924,2669.695,USER,Fixed,Corrected,None,95, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.599, , , , 
 ,20240720105450 2024-07-20 11:04:45.723601800 AM,7/20/2024 11:04,3490575.558,219931.034,2669.743,USER,Fixed,Corrected,None,96, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.598, , , , 
 ,20240720105450 2024-07-20 11:04:51.693831000 AM,7/20/2024 11:04,3490629.002,219904.495,2669.851,USER,Fixed,Corrected,None,99, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.767,0.753,1.598, , , , 
 ,20240720105450 2024-07-20 11:04:55.707965900 AM,7/20/2024 11:04,3490664.852,219886.731,2669.957,USER,Fixed,Corrected,None,101, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.598, , , , 
 ,20240720105450 2024-07-20 11:05:01.694802500 AM,7/20/2024 11:05,3490718.384,219860.027,2669.873,USER,Fixed,Corrected,None,104, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.597, , , , 
 ,20240720105450 2024-07-20 11:04:57.703464000 AM,7/20/2024 11:04,3490682.746,219877.818,2669.865,USER,Fixed,Corrected,None,102, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.598, , , , 
 ,20240720105450 2024-07-20 11:04:53.722735400 AM,7/20/2024 11:04,3490647.122,219895.5,2669.954,USER,Fixed,Corrected,None,100, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.598, , , , 
 ,20240720105450 2024-07-20 11:04:59.707508100 AM,7/20/2024 11:04:60 AM,3490700.629,219868.916,2669.806,USER,Fixed,Corrected,None,103, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.597, , , , 
 ,20240720105450 2024-07-20 11:05:03.711498300 AM,7/20/2024 11:05,3490736.331,219851.073,2669.815,USER,Fixed,Corrected,None,105, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.597, , , , 
 ,20240720105450 2024-07-20 11:05:07.692642000 AM,7/20/2024 11:05,3490771.981,219833.623,2669.3,USER,Fixed,Corrected,None,107, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.597, , , , 
 ,20240720105450 2024-07-20 11:05:09.721464400 AM,7/20/2024 11:05,3490790.003,219824.666,2669.255,USER,Fixed,Corrected,None,108, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.765,0.753,1.597, , , , 
 ,20240720105450 2024-07-20 11:05:05.701049600 AM,7/20/2024 11:05,3490754.11,219842.395,2669.565,USER,Fixed,Corrected,None,106, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.766,0.753,1.597, , , , 
 ,20240720105450 2024-07-20 11:05:15.884976900 AM,7/20/2024 11:05,3490800.961,219819.193,2668.795,USER,Fixed,Corrected,None,109, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.765,0.754,1.596, , , , 
 ,20240720105450 2024-07-20 11:05:19.849186900 AM,7/20/2024 11:05,3490812.918,219837.379,2669.118,USER,Fixed,Corrected,None,110, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.765,0.754,1.596, , , , 
 ,20240720105450 2024-07-20 11:05:24.873164400 AM,7/20/2024 11:05,3490817.268,219844.597,2669.77,USER,Fixed,Corrected,None,111, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.764,0.754,1.595, , , , 
 ,20240720105450 2024-07-20 11:05:28.536834500 AM,7/20/2024 11:05,3490797.621,219854.276,2669.238,USER,Fixed,Corrected,None,112, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.764,0.754,1.595, , , , 
 ,20240720105450 2024-07-20 11:05:30.561498400 AM,7/20/2024 11:05,3490779.33,219863.292,2668.71,USER,Fixed,Corrected,None,113, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.764,0.754,1.595, , , , 
 ,20240720105450 2024-07-20 11:06:36.568470700 AM,7/20/2024 11:06,3490189.501,220155.996,2669.03,USER,Fixed,Corrected,None,146, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.679, , , , 
 ,20240720105450 2024-07-20 11:06:38.561977900 AM,7/20/2024 11:06,3490171.705,220164.789,2668.72,USER,Fixed,Corrected,None,147, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.679, , , , 
 ,20240720105450 2024-07-20 11:06:34.564535900 AM,7/20/2024 11:06,3490207.351,220147.109,2669.197,USER,Fixed,Corrected,None,145, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.679, , , , 
 ,20240720105450 2024-07-20 11:06:32.537889200 AM,7/20/2024 11:06,3490225.436,220138.128,2669.215,USER,Fixed,Corrected,None,144, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.679, , , , 
 ,20240720105450 2024-07-20 11:06:40.557311800 AM,7/20/2024 11:06,3490153.914,220173.543,2668.515,USER,Fixed,Corrected,None,148, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.679, , , , 
 ,20240720105450 2024-07-20 11:06:42.579846400 AM,7/20/2024 11:06,3490135.74,220182.484,2668.32,USER,Fixed,Corrected,None,149, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.678, , , , 
 ,20240720105450 2024-07-20 11:05:38.546221700 AM,7/20/2024 11:05,3490708.232,219898.565,2669.393,USER,Fixed,Corrected,None,117, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.763,0.754,1.594, , , , 
 ,20240720105450 2024-07-20 11:05:34.536042500 AM,7/20/2024 11:05,3490743.9,219880.828,2669.373,USER,Fixed,Corrected,None,115, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.764,0.754,1.594, , , , 
 ,20240720105450 2024-07-20 11:05:32.548647900 AM,7/20/2024 11:05,3490761.58,219872.021,2668.97,USER,Fixed,Corrected,None,114, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.764,0.754,1.595, , , , 
 ,20240720105450 2024-07-20 11:05:36.542200800 AM,7/20/2024 11:05,3490726.042,219889.721,2669.492,USER,Fixed,Corrected,None,116, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.764,0.754,1.594, , , , 
 ,20240720105450 2024-07-20 11:05:40.560797700 AM,7/20/2024 11:05,3490690.205,219907.526,2669.191,USER,Fixed,Corrected,None,118, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.763,0.754,1.594, , , , 
 ,20240720105450 2024-07-20 11:05:42.552206000 AM,7/20/2024 11:05,3490672.309,219916.395,2669.458,USER,Fixed,Corrected,None,119, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.763,0.754,1.594, , , , 
 ,20240720105450 2024-07-20 11:05:44.543533300 AM,7/20/2024 11:05,3490654.6,219925.201,2669.51,USER,Fixed,Corrected,None,120, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.849,0.768,1.682, , , , 
 ,20240720105450 2024-07-20 11:05:46.549564600 AM,7/20/2024 11:05,3490636.636,219934.106,2669.398,USER,Fixed,Corrected,None,121, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.849,0.768,1.682, , , , 
 ,20240720105450 2024-07-20 11:05:48.541065700 AM,7/20/2024 11:05,3490618.91,219942.925,2669.37,USER,Fixed,Corrected,None,122, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.849,0.768,1.682, , , , 
 ,20240720105450 2024-07-20 11:05:50.549163800 AM,7/20/2024 11:05,3490600.924,219951.825,2669.439,USER,Fixed,Corrected,None,123, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.849,0.768,1.682, , , , 
 ,20240720105450 2024-07-20 11:05:52.538263100 AM,7/20/2024 11:05,3490583.199,219960.583,2669.382,USER,Fixed,Corrected,None,124, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.849,0.768,1.682, , , , 
 ,20240720105450 2024-07-20 11:05:54.542053900 AM,7/20/2024 11:05,3490565.216,219969.454,2669.269,USER,Fixed,Corrected,None,125, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.849,0.768,1.682, , , , 
 ,20240720105450 2024-07-20 11:06:00.543418200 AM,7/20/2024 11:06,3490511.642,219996.126,2669.526,USER,Fixed,Corrected,None,128, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:05:56.560653700 AM,7/20/2024 11:05,3490547.144,219978.431,2669.482,USER,Fixed,Corrected,None,126, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:05:58.554004900 AM,7/20/2024 11:05,3490529.359,219987.282,2669.548,USER,Fixed,Corrected,None,127, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:06:02.532582300 AM,7/20/2024 11:06,3490493.86,220005.036,2669.552,USER,Fixed,Corrected,None,129, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:06:04.553396900 AM,7/20/2024 11:06,3490475.692,220013.998,2669.53,USER,Fixed,Corrected,None,130, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:06:12.530211000 AM,7/20/2024 11:06,3490404.161,220049.214,2668.694,USER,Fixed,Corrected,None,134, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:10.544838000 AM,7/20/2024 11:06,3490422.243,220040.347,2668.475,USER,Fixed,Corrected,None,133, ,BYCODE(0), ,0.011,0.012,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:06:16.557074300 AM,7/20/2024 11:06,3490368.232,220067.035,2669.666,USER,Fixed,Corrected,None,136, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:14.530154900 AM,7/20/2024 11:06,3490386.285,220058.153,2669.38,USER,Fixed,Corrected,None,135, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:06.551256900 AM,7/20/2024 11:06,3490457.963,220022.883,2669.616,USER,Fixed,Corrected,None,131, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:06:08.555437800 AM,7/20/2024 11:06,3490440.161,220031.643,2668.83,USER,Fixed,Corrected,None,132, ,BYCODE(0), ,0.011,0.012,0.013,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.848,0.768,1.681, , , , 
 ,20240720105450 2024-07-20 11:06:24.539584400 AM,7/20/2024 11:06,3490297.044,220102.565,2668.749,USER,Fixed,Corrected,None,140, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:18.538307700 AM,7/20/2024 11:06,3490350.547,220075.805,2669.446,USER,Fixed,Corrected,None,137, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:22.548233300 AM,7/20/2024 11:06,3490314.804,220093.622,2668.8,USER,Fixed,Corrected,None,139, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:26.562212000 AM,7/20/2024 11:06,3490279.14,220111.51,2668.506,USER,Fixed,Corrected,None,141, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:20.558982100 AM,7/20/2024 11:06,3490332.577,220084.786,2669.142,USER,Fixed,Corrected,None,138, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.68, , , , 
 ,20240720105450 2024-07-20 11:06:28.553292300 AM,7/20/2024 11:06,3490261.23,220120.307,2668.512,USER,Fixed,Corrected,None,142, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.679, , , , 
 ,20240720105450 2024-07-20 11:06:30.542461400 AM,7/20/2024 11:06,3490243.27,220129.229,2668.857,USER,Fixed,Corrected,None,143, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.847,0.768,1.679, , , , 
 ,20240720105450 2024-07-20 11:06:48.561472700 AM,7/20/2024 11:06,3490082.191,220209.135,2668.948,USER,Fixed,Corrected,None,152, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.678, , , , 
 ,20240720105450 2024-07-20 11:06:44.570956500 AM,7/20/2024 11:06,3490117.865,220191.379,2668.473,USER,Fixed,Corrected,None,150, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.678, , , , 
 ,20240720105450 2024-07-20 11:06:46.570447400 AM,7/20/2024 11:06,3490099.985,220200.282,2668.645,USER,Fixed,Corrected,None,151, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.846,0.768,1.678, , , , 
 ,20240720105450 2024-07-20 11:06:50.565372700 AM,7/20/2024 11:06,3490064.276,220218.032,2669.111,USER,Fixed,Corrected,None,153, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.678, , , , 
 ,20240720105450 2024-07-20 11:06:52.558820700 AM,7/20/2024 11:06,3490046.379,220226.878,2669.285,USER,Fixed,Corrected,None,154, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.678, , , , 
 ,20240720105450 2024-07-20 11:06:54.581485500 AM,7/20/2024 11:06,3490028.27,220235.999,2669.547,USER,Fixed,Corrected,None,155, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.678, , , , 
 ,20240720105450 2024-07-20 11:07:00.574290300 AM,7/20/2024 11:07,3489974.945,220262.274,2668.608,USER,Fixed,Corrected,None,158, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.677, , , , 
 ,20240720105450 2024-07-20 11:07:02.555264900 AM,7/20/2024 11:07,3489957.392,220271.081,2668.456,USER,Fixed,Corrected,None,159, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.677, , , , 
 ,20240720105450 2024-07-20 11:06:58.570642000 AM,7/20/2024 11:06,3489992.735,220253.348,2669.214,USER,Fixed,Corrected,None,157, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.677, , , , 
 ,20240720105450 2024-07-20 11:06:56.581263800 AM,7/20/2024 11:06,3490010.486,220244.692,2669.51,USER,Fixed,Corrected,None,156, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.677, , , , 
 ,20240720105450 2024-07-20 11:07:04.575885500 AM,7/20/2024 11:07,3489939.277,220280.028,2668.506,USER,Fixed,Corrected,None,160, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.845,0.769,1.677, , , , 
 ,20240720105450 2024-07-20 11:07:06.596374500 AM,7/20/2024 11:07,3489921.129,220289.184,2668.547,USER,Fixed,Corrected,None,161, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.844,0.769,1.677, , , , 
 ,20240720105450 2024-07-20 11:07:08.595807600 AM,7/20/2024 11:07,3489903.178,220297.86,2668.974,USER,Fixed,Corrected,None,162, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.844,0.769,1.676, , , , 
 ,20240720105450 2024-07-20 11:07:10.595655700 AM,7/20/2024 11:07,3489885.406,220306.562,2669.17,USER,Fixed,Corrected,None,163, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.844,0.769,1.676, , , , 
 ,20240720105450 2024-07-20 11:07:17.559982500 AM,7/20/2024 11:07,3489870.44,220314.145,2668.336,USER,Fixed,Corrected,None,164, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.844,0.769,1.676, , , , 
 ,20240720105450 2024-07-20 11:07:21.515627400 AM,7/20/2024 11:07,3489878.319,220334.629,2668.4,USER,Fixed,Corrected,None,165, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.843,0.769,1.675, , , , 
 ,20240720105450 2024-07-20 11:07:26.479994500 AM,7/20/2024 11:07,3489881.546,220342.079,2668.609,USER,Fixed,Corrected,None,166, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.843,0.769,1.675, , , , 
 ,20240720105450 2024-07-20 11:07:30.167356300 AM,7/20/2024 11:07,3489901.015,220332.311,2668.494,USER,Fixed,Corrected,None,167, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.843,0.769,1.675, , , , 
 ,20240720105450 2024-07-20 11:07:32.158703800 AM,7/20/2024 11:07,3489918.928,220323.42,2668.24,USER,Fixed,Corrected,None,168, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.843,0.769,1.675, , , , 
 ,20240720105450 2024-07-20 11:07:34.181333500 AM,7/20/2024 11:07,3489936.972,220314.439,2668.44,USER,Fixed,Corrected,None,169, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.843,0.769,1.674, , , , 
 ,20240720105450 2024-07-20 11:07:38.174670200 AM,7/20/2024 11:07,3489972.436,220296.943,2669.117,USER,Fixed,Corrected,None,171, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.842,0.769,1.674, , , , 
 ,20240720105450 2024-07-20 11:07:36.183038700 AM,7/20/2024 11:07,3489954.875,220305.716,2669.012,USER,Fixed,Corrected,None,170, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.842,0.769,1.674, , , , 
 ,20240720105450 2024-07-20 11:07:40.168133500 AM,7/20/2024 11:07,3489990.396,220288.099,2669.22,USER,Fixed,Corrected,None,172, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.842,0.769,1.674, , , , 
 ,20240720105450 2024-07-20 11:07:42.153632200 AM,7/20/2024 11:07,3490008.025,220279.277,2669.346,USER,Fixed,Corrected,None,173, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.842,0.769,1.674, , , , 
 ,20240720105450 2024-07-20 11:07:50.194917400 AM,7/20/2024 11:07,3490079.844,220243.557,2668.899,USER,Fixed,Corrected,None,177, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.841,0.769,1.673, , , , 
 ,20240720105450 2024-07-20 11:07:44.182488900 AM,7/20/2024 11:07,3490026.042,220270.27,2668.966,USER,Fixed,Corrected,None,174, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.842,0.769,1.673, , , , 
 ,20240720105450 2024-07-20 11:07:48.176173400 AM,7/20/2024 11:07,3490061.793,220252.559,2668.878,USER,Fixed,Corrected,None,176, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.842,0.769,1.673, , , , 
 ,20240720105450 2024-07-20 11:07:46.182462200 AM,7/20/2024 11:07,3490043.925,220261.372,2668.794,USER,Fixed,Corrected,None,175, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.842,0.769,1.673, , , , 
 ,20240720105450 2024-07-20 11:07:52.186571800 AM,7/20/2024 11:07,3490097.653,220234.856,2668.746,USER,Fixed,Corrected,None,178, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.841,0.769,1.673, , , , 
 ,20240720105450 2024-07-20 11:07:54.182078100 AM,7/20/2024 11:07,3490115.487,220225.986,2668.803,USER,Fixed,Corrected,None,179, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.841,0.769,1.673, , , , 
 ,20240720105450 2024-07-20 11:07:56.183888400 AM,7/20/2024 11:07,3490133.453,220217.119,2668.823,USER,Fixed,Corrected,None,180, ,BYCODE(0), ,0.011,0.013,0.014,0.017,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.841,0.769,1.672, , , , 
 ,20240720105450 2024-07-20 11:09:02.155687600 AM,7/20/2024 11:09,3490723.625,219924.556,2667.129,USER,Fixed,Corrected,None,213, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.835,0.771,1.666, , , , 
 ,20240720105450 2024-07-20 11:08:58.180839300 AM,7/20/2024 11:08,3490687.976,219942.445,2666.891,USER,Fixed,Corrected,None,211, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.836,0.77,1.666, , , , 
 ,20240720105450 2024-07-20 11:09:00.168431500 AM,7/20/2024 11:09,3490705.763,219933.427,2666.764,USER,Fixed,Corrected,None,212, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.836,0.77,1.666, , , , 
 ,20240720105450 2024-07-20 11:09:04.180812800 AM,7/20/2024 11:09,3490741.716,219915.51,2667.482,USER,Fixed,Corrected,None,214, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.835,0.771,1.666, , , , 
 ,20240720105450 2024-07-20 11:09:06.176462900 AM,7/20/2024 11:09,3490759.656,219906.713,2667.81,USER,Fixed,Corrected,None,215, ,BYCODE(0), ,0.011,0.012,0.013,0.016,         BYLAYER,  BYCODE, ,0,Vertical, , , , ,1.835,0.771,1.665, , , , 
