subject,count
عدم نمایش برای استاد راهنما جهت تایید موضوع پایان نامه,1
درخواست مجوز انتخاب واحد,1
درخواست اعمال بخشنامه مربوط به امتحانات پایان ترم ,1
درخواست برگزاری امتحان مجدد در تابستان ۱۴۰۴,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴  ,1
درخواست افزایش سقف انتخاب واحد به 24 واحد-ترم 4032,1
درخواست شرکت در امتحانات تابستان 404,1
درخواست شرکت در امتحانات مجدد برای دروس عمومی,1
درخواست شرکت در امتحانات پایان ترم عمومی که در تابستان 1404برگزار میشود.,1
درخواست امتحان مجدد درس استاتیک و مقاومت مصالح با استاد پیام شریعت یزدی،که اینجانب به دلیل شرایط کشور و اینکه بومی یزد نبوده موفق شرکت در جلسه امتحان این درس در تاریخ 1404.3.27 نشدم ,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ( امتحان مجدد ),1
بررسی ایمیل ,1
تقاضای ثبت دانشجوی ترم آخر ,1
درخواست امتحان مجدد در شهریور ماه,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ اطلاعات در لینک مربوطه پر شده,1
شرکت در امتحانات پایانترم ,1
درخواست شرکت در امتحان مجدد درس عمومی ,1
تاریخ شروع امتحان از کی هست؟,1
درخواست داور,1
درخواست ارسال به مرحله 14,1
درخواست ارسال به مرحله 16,1
صورت جلسه پایان نامه,1
فرستادن به مرحله آخر پژوهش یار,1
شرکت در امتحانات عمومی در تابستان,1
درخواست شرکت در امتحانات مجدد نيمسال دوم ۱۴۰۳ ( غیره بومی یزد ),1
درخواست کد اخلاق برای دانشجویان غیرپزشکی ,1
درخواست شرکت در امتحانات دروس عمومی نیم سال دوم ۱۴۰۴,1
احتراماً با درخواست اینجانب سيده نسيم اذرپيكان جهت شرکت در آزمون های جایگزین عمومی (درس وصاياي امام خميني) که به خاطر شرایط کشور برای دانشجویان علوم. پزشکی لغو شده بود موافقت فرمایید. باتشکر,1
 امتحانات,1
مجوز ترم اخر,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ویژه دانشجویان غیربومی(مدنی۴) ,1
درخواست دریافت صورت جلسه و فرم الف,1
بررسی اتصال,1
با سلام با توجه به شرایط پیش امده در کشور و نداشتن روحیه دانشجویان خوابگاهی برای خواندن امتحانات تعویق امتحانات ۲۵ خرداد را خواستاریم از پیگیری شما سپاسگزارم,1
سوال مربوط به انتخاب واحد,1
پرینت هزینه های انتخاب واحد ثابت و متغیر نیم سال اول ۱۴۰۳ (مهرماه),1
شرکت در امتحانات دروس عمومی ,1
در خواست کد اخلاق,1
در خواست فرم آمادگی دفاع,1
در خواست معادل سازی درس حفظ جز ۳۰ قران با انس با قران  فایل مربوطه بار گذاری شده و در کیف اسناد قابل مشاهده است,1
در خواست معادل سازی درس حفظ جز سی در دوره کارشناسی با درس انس با قران در ارشد ,1
در خواست فرم آمادگی دفاع ,1
در خواست کد اخلاق.          فرمهای مربوطه ایمیل شد,1
در خواست کد اخلاق     فایلهای مربوطه pdf و ورد ارسال شد ,1
درخواست گواهی ثبت پایان نامه پذیرش شده توسط ایرانداک با کد پیگیری 23147592,1
در خواست کد اخلاق فایل ورد و pdf ایمیل شده,1
خواهشمندم نسبت به بازشدن ویرایش جهت اخذ کد استاد مشاور اقدامات لازم را مبذول فرمایید. باتشکر,1
درخواست برگزاری جبرانی دروس عمومی  به دلیل کنسل شدن کلیه امتحانات دانشگاه علوم پزشکی در شهریور ماه ,1
درخواست برگزاری جبرانی درس عمومی به دلیل کنسل شدن کلیه امتحانات دانشگاه علوم پزشکی در شهریور ماه ,1
درخواست ارسال نامه به دانشگاه علوم پزشکی شهید صدوقی یزد جهت معرفی و درخواست همکاری استاد راهنما ,1
درخواست ارسال نامه به دانشگاه شهید صدوقی یزد جهت همکاری,1
درخواست ارسال نامه همکاری جهت به دانشگاه علوم پزشکی شهید صدوقی یزد,1
مجوز کسب ۲۴واحد ,1
مجوز گرفتن بیست و چهار واحد ,1
در خواست شرکت در آزمون های تابستان 404,1
اخذ ۲۳ واحد درسی ,1
درخواست آزمون مجدد در تابستان,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ویژه دانشجویان غیربومی(مدنی۲),1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ویژه دانشجویان غیر بومی(درس تجارت۲),1
درخواست مجوز انتخاب واحد ترم تابستان ۱۴۰۴,1
درخواست امتحان مجدد برای افراد خوابگاهی ترم جاری,1
درخواست آزمون جبرانی برای افراد خوابگاهی وغیر بومی,1
کارت ورود به جلسه,1
برگزاری امتحان مجدد دانشجویان بومی,1
درخواست تمدید پایان نامه برای ترم 4032,1
زمان شروع فرجه ,1
درخواست شرکت در امتحانات تابستان۱۴۰۴ ویژه دانشجویان غیربومی(درس حقوق کار),1
با سلام و احترام ثبت درخواست انتحان مجدد در درس انقلاب,1
با سلام و احترام درخواست امتحانات مجدد از درس عموی انقلاب اسلامی را دارم چون به خاطر شرایط پیش آمده در کشور در امتحان شرکت نکردم,1
درخواست برگذاری آموزن عمومی مجدد,1
درخواست ازمون مجدد دروس عمومی,1
درخواست امتحانات عمومی کنسل شده دانشجویان دانشکده پزشکی,1
درخواست آزمون مجدددروس عمومی,1
پیگیری درخواست قبلی,1
سلام پس برای چی گفتند کلیه درخواست ها را ایمیل کنید,1
درخواست گواهی تعداد واحدهای گذرانده درنیمسال دوم1403-1404 با معدل آن برای ستاد اجرایی فرمان امام(ره),1
شرکت  در امتحانات تابستان ۱۴۰۴,1
با عرض سلام و احترام درخواست دفاع از پروپوزال را دارم ,1
درخواست کد اخلاق برای دانشجویان پزشکی  پرستاری. ,1
شرکت در امتحانات تابستانص1404,1
شرکت در امتحانات تابستان1404,1
چگونگی برداشتم ۲۳ واحد درسی ,1
درخواست امتحان مجدد در تابستان 1404,1
بررسی اتصال سامانه ,1
درخواست شرکت در امتحان مجدد دروس عمومی (انقلاب اسلامی ایران),1
درخواست آزمون مجدد زبان ,1
باز کردن قفل ویرایش قسمت لیست پروپوزال/پایان نامه غیرپزشکی ارشد ,1
درخواست به حامی ,1
تخفیف شهریه دستیاری,1
برگزاری مجدد امتحانات دروس عمومی برای دانشجویان پزشکی,1
برگزاری مجدد امتحانات دروس عمومی برای دانشجویان پزشکی ,1
درخواست افزایش سقف انتخاب واحد به ۲۴ واحد – ترم4032 ,1
فعال سازی رمز ورود,1
مجوز انتخاب واحد بالای ۲۰ واحد,1
درخواست مجدد امتحانات پایان ترم عمومی (اندیشه اسلامی 1) استاد عبدالحسینی ,1
در خواست امتحانات عمومی به دلیل عقب افتادن انها مرتبط با اوضاع کشور . ,1
درخواست کد اخلاق برای دانشجویان پزشکی,1
درخواست مجوز انتخاب 24 واحد درسی به دلیل معدل بالای 19,1
انتخاب استاد راهنما,1
شرکت در آزمون جایگزین تابستان دروس عمومی ,1
امتحان جایگزین تابستان دروس عمومی ,1
درخواست برگزاری امتحانات عمومی ترم جاری ,1
درخواست مجوز اخذ انتخاب واحد ترم تابستان 1404,1
تاریخ شروع امتحانات؟ ,1
مجوز انتخاب واحد (ترم اخر) ,1
درخواست امکان ویرایش اطلاعات پروپوزال در سامانه پژوهشیار,1
درخواست ارسال مدرک دوره دوم متوسطه جهت فارغ‌التحصیلی,1
درخواست برگزاری امتحان مجدد ویژه دانشجویان غیرپزشکی بومی و پزشکی غیر بومی,1
امتحان مجدد در دروس عمومی ,1
درخواست برگزاری مجدد امتحان در تابستان,1
درخواست برگزاری امتحان مجدد در تابستان,1
درخواست مجدد آزمون در شهریور,1
درخواست مجدد ازمون در تابستان,1
با سلام و احترام به دلیل شرایط پیش آمده در کشور در خواست شرکت در امتحانات دروس عمومی را دارم درس :اندیشه اسلامی ۲(نبوت و امامت)اعظم اعتمادی فرد ,1
دسترسی جهت ویرایش در پژوهشیار,1
دسترسی جهت ویرایش پژوهشیار,1
درخواست برگزاری جبرانی دروس عمومی به دلیل کنسل شدن کلیه امتحانات دانشگاه علوم پزشکی در شهریور ماه ,1
درخواست امتحان مجدد عمومی ها بخاطر شرایط کشور برای دانشجویان علوم پزشکی ,1
درخواست شرکت در امتحان مجدد ,1
تعیین تاریخ دفاع,1
در چه صورت امکان اخذ ۲۳ واحد وجود دارد,1
درخواست شرکت مجدد آزمون تفسیر موضوعی قران,1
درخواست ترم اخر,1
درخواست مجوز انتخواب واحد ترم تابستان ,1
درخواست امتحان مجدد در دروس عمومی ,1
باسلام درچه صورت امکان اخذ ۲۳واحد را دارد؟,1
درخواست مجدد برگزاری امتحانات دروس عمومی آئین زندگی و تاریخ تحلیلی,1
موضوع : درخواست شرکت در امتحانات تابستان ۱۴۰۴,1
تمایل به اخذ ترم تابستان,1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ به دلیل شرایط موجوده در کشور,1
درخواست برگزاری امتحان مجدد ویژه دانشجویان غیرپزشکی وپزشکی غیربومی ,1
عدم شرکت در آزمون های دروس عمومی به علت شرایط پیش آمده در کشور ,1
عدم شرکت در دروس عمومی به علت شرایط پیش آمده در کشور ,1
سوال,1
معرفی نامه پژوهشی برای تکمیل رساله پایان نامه,1
درخواست افزایش سنوات تحصیلی,1
باز شدن گزینه ارزشیابی استاد,1
پیگیری شروع امتحانات ,1
درخواست برگذاری مجدد امتحانات پایان ترم برای دانشجویان غیر بومی استان یزد,1
درخواست شرکت در ازمون جبرانی زبان ترکیبی ۱ به دلیل عدم دسترسی به سایت در نوبت اول ازمون,1
برگزاری مجدد امتحانات دروس عمومی ۱۴۰۴,1
برگزاری امتحانات مجدد دروس عمومی,1
ویرایش  موضوع پروپوزال در پژوهشیار,1
درخواست ثبت کد اخلاق,1
درخواست شرکت در امتحانات مجدد نیمسال دوم (غیر بومی استان یزد) به دلیل شرایط اخیر,1
 درخواست شرکت در امتحانات مجدد نیمسال دوم (ویژه دانشجویان غیر بومی استان یزد) ,1
درخواست استعلام نمرات زبان دکتری تخصصی,1
درخواست فعالسازی تیک  ترم آخر برای اخذ دروس عمومی بیش از4واحد,1
درخواست أخذ ترم تابستان ,1
امتحان درس تفسیر موضوعی,1
برگزاری امتحان مجدد زبان ترکیبی_عمومی 3,1
درخواست رمز عبور برای ایمیل ,1
درخواست برگزاری مجدد امتحان عمومی ,1
درخواست برگزاری امتحان مجدد درس عمومی ,1
شرکت در امتحانات تابستانه درس های عمومی ۱۴۰۴,1
درخواست حذف ترم,1
درخواست مجوز انتخاب واحدترم تابستان در آموزشیار نمیشود مجوز گرفت میزنه شما مجاز به انتخاب واحد نیستید,1
درخواست امتحانات عمومی دانشکده پزشکی ,1
تکمیل اطلاعات مربوطه لینک ذکر شده,1
برگزاری مجدد امتحان دانشجویان غیر بومی و بومی,1
برگزاری مجدد امتحان مجدد دانشجویان بومی و غیر بومی,1
سلام امتحانات از کی شروع میشه؟,1
امتحان مجدد پایان ترم سنتز مواد الی در تابستان,1
فرم دفاع و فارغ التحصیلی,1
مهلت کاراموزی,1
درخواست فرم دفاع کارشناسی ارشد ناپیوسته,1
درخواست شرکت مجدد در امتحانات عمومی دانشکده پزشکی به علت کنسل شدن ,1
باسلام اگر شهریه را پرداخت کنیم سیستم باز میشود و همون موقع پرداخت تایید میشودبرای انجام امور انتخاب واحد,1
پیگیری تاییدیه پرپوزال توسط دانشکده و واحد پژوهشی_میرقاسمی,1
درخواست امتحان مجدد دروس به خاطر جنگ,1
مشخص شدن داور,1
تاییدیه تحصیلی,1
بررسی دوروس توسط کارشناس ، آمادگی دفاع ,1
درخواست برای بررسی اتصال به دانشگاه ,1
چطور میتوانم کارت دانشجویی دریافت کنم؟,1
شرکت آزمون در تابستان,1
درخواست امتحان جبرانی,1
درخواست فرم آمادگی دفاع را داشتم,1
در چه صورت اخذ ۲۳ واحد ممکن است,1
سامانه آموزشیار خطا میده،نمیتونم واردش بشم,1
تکمیل پرونده دانشجویی,1
درخواست امتحان مجدد برای دانشجویان غیر بومی استان یزد,1
درخواست امتحان مجدد برای دانشجویان غیر بومی دانشگاه آزاد یزد,1
امور مالی,1
موضوع مجوز ترم تابستانه,1
لغو امتحانات ,1
درخواست کد اخلاق برای رشته روانشناسی,1
درخواست برگزاری امتحان عمومی برای شهریور ,1
درخواست برگزاری مجدد امتحانات دروس عمومی در تابستان ۱۴۰۴ به دلیل شرایط جنگی حاصل شده در کشور ,1
درخواست برگزاری مجدد امتحانات عمومی در شرایط حاصل شده درکشور ,1
درخواست برگزاری مجدد امتحانات عمومی در تابستان ۱۴۰۴,1
بررسی عدم ارسال درخواست به حامی,1
مجوز گرفتن دو معارف در ترم هفت (ترم اخر) ,1
تاریخ امتحان اندیشه اسلامی۲ چه زمانی است؟,1
درخواست انصراف از تحصیل,1
معرفی به استاد,1
درخواست ویرایش استاد راهنما و موضوع در سامانه پژوهشیار دارم,1
اعلام وضعیت شهریه به حامی,1
درخواست لیست دروس,1
پیگیری درخواست لیست دروس,1
پیگیری وضعیت پایان نامه,1
برگزاری مجدد امتحانات ,1
درخواست مجوز ۲۴ واحد به علت معدل الف بودن,1
در خواست امتحانات ترم در تابستان,1
درخواست امتحانات ترم در تابستان,1
درخواست تصویب عنوان پروپوزال در گروه مدیریت,1
وضعیت شهریه,1
مجوز اخذ دو درس معارف در ترم هفت (ترم آخر),1
ترم تابستان و اخذ 24 واحد ترم بعد .,1
سلام با توجه به بارگذاری فایل های نهایی مربوط به پایان نامه و تحویل مدارک درخواست انتقال به مرحله نهایی پژوهشیار ,1
با سلام بابت پژوهشیار دانشجو پرهام رحیمی که در مرحله ۱۶ ام قرار دارد لطفا به مرحله بعد انتقال دهید با تشکر,1
سلام خانم جعفری من دانشجو پرهام رحیمی دو بار به دکتر انتیک چی بابت تائید مرحله ۱۷ پژوهشیار گفتم که نیاز تائید استاد راهنما هست ولی ایشون گفتند اگه امکان داره شما تائید این مرحله رو از جانب دکتر انتیک چی بزنید ممنون,1
سلام خانم جعفری من فایل pdf و word ویرایش شده پایان نانه ام رو آپلود پژوهشیار کردم ,1
سلام وقت بخیر اگه معدل کل کارشناسی15/5 باشد میتوانم ارشد بدون کنکور ثبت نام کنم؟,1
درخواست امتحان مجدد درس ایین زندگی به دلیل شرایط جنگی پیش آمده,1
درخواست فعالسازی  رمز عبور ,1
 درخواست ازمون مجدد به دلایل شرایط پیش اماده کشور ,1
امتحان پایان ترم,1
با سلام. اینجانب دانشجو منصور رنجبر هستم و احتراما درخواست تعیین داور برای جلسه دفاع بنده را دارم. با تشکر,1
باسلام. منصور رنجبر هستم. بنده امضا دکتر قیصری رو به عنوان داور در فرم مربوطه اخذ کردم. مدارکی که هم فرموده بودید در سامانه بارگذاری کردم.درخواست تعیین تاریخ دفاع پایان نامه رو دارم. باتشکر ,1
با سلام. خانم جعفری لطفا محبت فرمایید برگه صورت جلسه دفاع بنده رو آماده بفرمایید سپاسگزارم میشم از شما,1
درخواست انتخاب واحد تابستانی,1
سلام .زمان انتخاب واحد کاردانی آموزش معلمان  درچه تاریخی هست ولطفا کد دروس رو هم بزارید,1
 درخواست شرکت در امتحانات تابستان ۱۴۰۴,1
مجوز انتخاب واحد بالای ۲۰ واحد ,1
سید محمد یاسین هاشمی زاده هستم با کد دانشجویی 403352732 درخواست حضور در امتحان حقوق اساسی با کد ارائه 1414155 دارم,1
انتخاب واحد وحذف و اضافه در هر زمان باسلام ,1
برگزاری مجدد امتحانات عمومی کنسل شده دانشکده پزشکی ,1
امتحان مجدد عمومی ها,1
برگزاری مجدد امتحانات عمومی کنسل شده دانشجویان پزشکی,1
انجام امور فارغ التحصیلی,1
پاسخ به سوالات در رابطه با ثبت نام در مقطع کاردانی,1
درخواست اخذ مجوز ترم تابستان ,1
درخواست انتخاب واحد ,1
اخذ۲۴ واحد,1
اخذ مجوز ترم تابستان ,1
باسلام و احترام لطف کنید تاریخ شروع امتحانات پایان ترم را برای من ارسال کنید,1
در خواست مجدد امتحان زبان پیش دانشگاهی را دارم ,1
درخواست مجدد امتحان سنتز مواد الی ,1
درخواست مجدد امتحان زبان پیش دانشگاهی ,1
درخواست مجدد امتحان سنتز مواد آلی ,1
درخواست مجوز برداشت 4 واحد درس معارف (ترم آخری ),1
درخواست برگزاری امتحان در تابستان ۱۴۰۴,1
درخواست شرکت در امتحانات تابستان۱۴۰۴ ویژه دانشجویان غیربومی(درس مدنی۵),1
درخواست شرکت در امتحانات تابستان۱۴۰۴ ویژه دانشجویان غیربومی(درس جزای عمومی۳),1
درخواست شرکت در امتحانات تابستان ۱۴۰۴ ویژه دانشجویان غیربومی(درس مدنی۴),1
اخذ مجوز انتخاب واحد تابستان ,1
درخواست دفاع پایان نامه,1
درخواست تعیین داور و نوبت دفاع از پایان نامه,1
درخواست برگزاری امتحانات پایان ترم در شهریور ماه,1
شرکت مجدد در آزمون دروس عمومی ، انس باقرآن ,1
شرکت مجدد در آزمون دروس عمومی،  درس اندیشه اسلامی ۱,1
شرکت مجدد در آزمون دروس عمومی ,1
فرم درخواست شرکت در امتحان عمومی تابستان,1
فرم آمادگي دفاع,1
عدم امکان شرکت در امتحانات پایان ترم و درخواست ازمون تابستان,1
مجوز انتخاب واحد بیشتراز سقف مجاز ( ترم اخر ),1
لغو ثبت درخواست انتخاب واحد برای سال تحصیلی 4033,1
سلام درخواست بار شدن فایل پژوهشیار رو  دارم ,1
باز کردن فایل پژوهشیار ,1
درخواست اخذ مجوز پیش دفاع ,1
امتحانات جبرانی ,1
سلام خواهشمندم ایمیل دانشجویی من را بررسی کن ,1
چطور میتوانم ۲۳ واحد اخذ کنم؟,1
افزایش شقف انتخاب واحد,1
باسلام و احترام   درخواست امتحان پایان ترم عمومی :تاریخ تحلیلی صدر اسلام با استاد : ابوذر صانعی ,1
عدم امکان در حضور امتحانات پایان ترم و درخواست امتحان در تابستان,1
درخواست مجوز انتخاب ۲۴ واحد ,1
شرکت در ازمون های جایگزین دروس عمومی به دلیل لغو انها برای دانشجویان علوم پزشکی.,1
تعیین وقت دفاع عنوان ,1
درخواست شرکت در آزمون عمومی جایگزین,1
درخواست جلسه دفاع پایان نامه,1
تایید مرحله ۴ دفاع پایان نامه,1
دفاع پایان نامه. انتقال به مرحله ۴,1
تعیین تاریخ دفاع پایان نامه,1
تعیین وقت دفاع پایان نامه,1
باسلام اینجانب درخواست شرکت در آزمون های مجدد پایان ترم دروس اختصاصی را دارم با تشکر.,1
مجوز انتخاب واحد ، هم نیاز کردن دروس(ترم اخری),1
درخواست  دانشجو دررابطه با آزمون در تابستان امسال که باتوجه به شرایط اخیر امکان شرکت در آزمون را  در 29ام خرداد نداشته است.,1
رمز عبور,1
فعالسازی سرویس درخواست ,1
درخواست شركت در امتحانات تابستان 1404,1
درخواست انتخاب واحد ترم تابستان 1404,1
‎درخواست شرکت در امتحانات تابستان ۱۴۰۴,1
درود و احترام. در چه صورت می‌توانم موفق به اخذ ۲۴ واحد در ترم سوم شوم؟,1
ثبت نام ترم تابستانی,1
 سلام وقتتون بخیر. درخواست ارائه ترم تابستان رو دارم ,1
در چه صورت امکان اخذ 23 واحد وجود دارد,1
درخواست شرکت در امتحانات پایان ترم دروس عمومی اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره) و ایین زندگی(اخلاق کاربردی),1
درخواست مجدد ازمون-ارسال فرم های تکمیل شده,1
درخواست امتحان مجدد تابستان تاریخ فرهنگ و تمدن اسلامی,1
درخواست گواهی اشتغال  به تحصی,1
ثبت درخواست امتحان پایان ترم درس سنتز مواد آلی در تابستان ,1
درخواست حذف مجوز انتخاب واحد ترم تابستان ,1
 با سلام درخواست امتحان مجدد دارم,1
درخواست مجوز ترم اخر,1
 سلام و احترام؛ خواهشمندم با توجه به شرایط پیش آمده و عدم تمرکز کافی دانشجویان برای مطالعه و همچنین تخلیه کردن اتاق با توجه به صحبت سرپرست خوابگاه و سخت بودن فرایند برگشت و دوباره چیدن وسایل، خواهشمندم امتحانات به شهریور ماه موکول شود. با تشکر,1
درخواست برگزاری مجدد امتحان پایان ترم درس تفسير موضوعي نهجالبلاغه,1
درخواست برگزاری مجدد امتحان پایان ترم درس تفسير موضوعي نهجالبلاغه ,1
درخواست امتحان مجدد در شهریور ,1
 شرکت   مجدد در آزمون عمومی درس تاریخ تحلیلی صدر اسلام ,1
درخواست شرکت در امتحانات جایگزین عمومی به علت لغو آنها برای دانشجویان علوم پزشکی,1
با سلام و احترام اینجانب سجاد چنانی به شماره دانشجویی ۴۰۲۷۸۱۶۴۰ تقاضای صدور مجوز ترم تابستان را دادم.  با تشکر وسپاس چنانی,1
 شرکت در امتحانات عمومی لغو شده,1
درخواست شرکت در برگزاری مجدد امتحانات عمومی لغو شده,1
تکمیل پرونده فارغ التحصیلی,1
درخواست نرم آخری کاردانی و بیش از اندازه بودن دروس عمومی معارف,1
درخواست بررسی پروپوزال در شورای پژوهشی جهت دریافت کداخلاق,1
شرکت در ترم تابستان,1
تغییر استاد آمار,1
مجوز انتخاب واحد برای ترم تابستان,1
شرکت در امتحان جایگزین عمومی,1
درخواست شرکت در امتحانات مجدد تابستان ۱۴۰۴,1
درخواست شرکت در مرحله ی دوم آزمونهای پایانترم ۴۰۴,1
درخواست شرکت در آزمون مجدد تابستان۱۴۰۴,1
شرکت در امتحانات تابستان ۱۴۰۴ در دروس عمومی,1
برسی اتصال به سامانه,1
درخواست آزمون مجدد دروس عمومی,1
درخواست آزمون مجدد دروس عمومی ,1
درخواست شرکت در آزمون تابستانه ۱۴۰۴,1
در خواست انتقال به مرحله بعد ,1
درخواست تاریخ و ساعت روز دفاع,1
شرکت در امتحانات تابستان ۱۴۰۴.سلام  احتراما با توجه به شرایط پیش آمده در کشور و اعلام دانشکده پزشکی علی ابن ابیطالب (ع) یزد، درخواست شرکت در امتحانات تابستان 1404 در درس آیین زندگی  را دارم.,1
شرکت در امتحان تابستان ,1
شرکت در امتحانات پایان ترم دروس عمومی,1
درخواست فعال سازی ویرایش پروپوزال در سامانه پژوهشیار,1
سوال درباره امتحانات پایان ترم,1
درخواست ترم تابستانه 1404 ,1
ترم تابستانه 4032,1
درخواست برگزاری مجدد آزمون های عمومی لغو شده دانشکده‌ی علوم پزشکی,1
درخواست امتحان مجدد دارم,1
دادن امتحان مجدد آیین دادرسی مدنی 3,1
درخواست برگزاری آزمون مجدد درس انقلاب اسلامی با توجه به نیاز به شرکت در آزمون علوم پایه شهریور,1
درخواست امتحان جبرانی درس انقلاب اسلامی به دلیل شرایط جنگی پیش آمده,1
درخواست برگزاری مجدد امتحانات دانشجویان غیر بومی در تابستان ۱۴۰۴,1
در چه صورت امکان اخذ ۲۳ واحد امکان دارد؟,1
مجوز پرداخت بخشی ار شهریه ,1
درخواست امتحان مجدد در تابستان  1404در دو درس انقلاب اسلامی ایران و اندیشه اسلامی 2 (امامت و نبوت ) و ارسال کاربرگ درخواست شرکت در امتحانات تابستان1404 مربوطه,1
باسلام و احترام تاریخ شروع امتحانات ترم چه زمانی هست؟,1
بررسی علت حذف درس,1
درخواست امتحان تابستانه را برای دروس تاریخ تحلیلی صدر اسلام و تاریخ فرهنگ و تمدن را دارم,1
درخواست شرکت در امتحان تابستانه را دارم,1
درخواست شرکت در امتحانات تابستانه را دارم,1
مجوز انتخاب واحد بیش از سقف مجاز (ترم آخر ),1
درخواست کد اخلاق برای چاپ مقاله,1
درخواست برگزاری مجدد امتحان عمومی مجدد در تابستان ,1
درخواست اخذ ۲۴ واحد برای انتخاب واحد ۴۰۴۱,1
امتحان مجدد در شهریور,1
چگونگی فارغ التحصیل,1
درخواست برگزاری مجدد آزمون دروس عمومی ,1
درخواست برگزاری مجدد  آزمون دروس  عمومی ,1
درخواست برگزاری مجدد دروس عمومی ,1
درخواست برگزاری آزمون عمومی مجدد,1
امتحان مجدد دروس عمومی ,1
درخوایت فرم امادگی دفاع,1
درخواست مجدد امتحانات عمومی,1
درخواست شرکت در امتحانات ترم تابستان ۱۴۰۴,1
باسلام تاریخ شروع امتحانات کی هست,1
ازمون مجدد دروس عمومی تابستان ۱۴۰۴,1
امتحانات به تعویق افتاده دروس عمومی ,1
امتحان دروس عمومی در تابستان,1
درخواست برگزاری امتحانات عمومی در تابستان,1
درخواست مجوز انتخاب واحد برای 24 واحده,1
با سلام و احترام درخواست گواهی اشتغال به تحصیل را دارم ,1
شرکت در امتحانات عمومی تابستان ۴۰۴,1
درخواست اخذ کد رهگیری,1
درخواست مجوز انتخاب واحد ترم آخر,1
سلام مجوز انتخاب واحد رو به اشتباه روی ترم تابستان انتخاب کردم میخواستم حذف کنید,1
سلام من شهریه ترم قبل رو تسویه کردم موقع امتحانات من غایب بودم غیبت موجه بوده الان میخوام کارت ورود به جلسه بگیرم میزنه شما بدهکارید ممنون میشم پیگیری کنید,1
مشکل در آزمون زبان انگلیسی پیش ترکیبی ,1
درخواست اطلاع از شروع آزمون های پایان ترم,1
درخواست رمز عبور سامانه ایمیل,1
سلام‌تاریخ‌شروع‌امتحانات‌پایان‌ترم‌کی‌هست؟,1
تاریخ‌امتحان‌پایان‌ترم؟,1
درخواست فرم آمادگی به دفاع,1
امتحان درس تفسیر موضوعی قرآن کریم,1
برگزاری مجدد امتحان عمومی دانشجویان دانشکده پزشکی,1
موضوع انتخاب واحد پیش از سقف مجاز(ترم آخری),1
درخواست لغو امتحانات و برگزاری در تابستان ۱۴۰۴,1
درخواست برگزاری امتحان مجدد در تابستان ۴۰۴,1
درخواست گرفتن امتحان مجدد دروس باقی‌مانده ترم جاری به دلیل غیر بومی بودن و فوت مادربزرگم متاسفانه قادر به ادامه امتحانات نمیباشم لذا خواهش مند است در موعدی دیگر امتحانات را از اینجانب اخذ نمایید.,1
بدون موضوع ,1
خواهشمندم فرم امادگی دفاع را ارسال نمایید.,1
زمان برگزاری امتحانات,1
مجوز انتخاب واحد هم نیاز کردن دروس(ترم آخر),1
امتحان پایان ترم تفسیر موضوعی قران,1
امتحان پایان ترم انس با قران ,1
مجوز ترم تابستان ,1
درخواست شرکت در امتحانات مجدد دروس عمومی لغو شده,1
تقاضا شرکت در امتحانات عمومی لغو شده ,1
اینجانبه بهناز اسماعیلی به شماره کدهای ۱۷۷۱۷۳۱۸۲۵۱۸۴۲۷ و ۱۷۷۱۷۴۳۳۶۶۲۴۰۲۸۱ به علت حضور نداشتن در ارزشیابی پایان ترم و پر کردن فرم ، درخواست حضور در ارزشیابی را دارم.,1
درخواست اخذ ۲۴واحد ,1
درخواست تمدید رساله,1
درخواست جهت شرکت در امتحان درس عمومی,1
درخواست برگزاری مجدد ازمون پایان ترم دروس عمومی,1
درخواست ازمون درس عمومی ,1
درخواست ترم تابستون ,1
با سلام و احترام درخواست دانشجویی در سامانه ایمیل دانشگاه آزاد اسلامی برای ایمیل دانشگاهی,1
درخواست انتقال به مرحله بعد پایان نامه,1
درخواست انتقال به مرحله بعد,1
تاریخ و ساعت روز دفاع,1
روز و تاریخ و ساعت دفاع,1
درخواست شرکت در ازمون درس عمومی تفسیر قران,1
درخواست برگذاری برگزار مجدد امتحان پایان ترم دروس عمومی ,1
درخواست جهت شرکت در دروس عمومی,1
درخواست جهت شرکت مجدد در امتحان دروس عمومی(اطلاعات در لینک جداگانه نیز ثبت کرده‌ام برای درس تاریخ تحلیلی صدر اسلام),1
درخواست جهت شرکت مجدد در دروس عمومی( اطلاعات در لینک جداگانه نیز ثبت کرده‌ام مربوط به درس انقلاب اسلامی ایران),1
درخواست ارائه‌ی ترم تابستان,1
برگزاری مجدد دروس در تابستان ۱۴۰۴,1
شرایط اخذ بیش از 20 واحد,1
شیوه دریافت فرم درخواست شرکت در امتحانات تابستان 1404 برای دانشجویان ساکن خارج یزد,1
شهریه ترم,1
درخواست امتحان مجدد در دروس عمومی,1
درخواست ارائه ی ترم تابستان را دارم,1
برگزاری امتحان مجدد پایانترم درس ژنتیک مولکولی,1
